[2017-10-22 22:24:07,029] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2017-10-22 22:24:27,567] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2017-10-22 22:24:39,420] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2017-10-22 22:24:54,833] TRACE Controller 0 epoch 1 received response {error_code=0} for a request sent to broker localhost:9092 (id: 0 rack: null) (state.change.logger)
[2017-10-22 22:25:19,194] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,19] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,197] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,30] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,198] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,47] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,198] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,29] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,198] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,41] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,198] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,39] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,198] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,10] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,198] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,17] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,198] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,14] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,199] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,40] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,199] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,18] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,199] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,26] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,199] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,0] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,199] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,24] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,199] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,33] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,200] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,20] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,200] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,21] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,200] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,3] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,200] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,5] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,200] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,22] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,200] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,12] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,200] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,8] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,201] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,23] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,201] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,15] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,201] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,48] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,201] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,11] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,206] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,13] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,206] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,49] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,206] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,6] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,206] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,28] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,206] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,4] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,206] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,37] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-22 22:25:19,207] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,31] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
